created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,Cleaned Text,Tokens
Fri Oct 20 10:57:11 +0000 2023,1715321259222073647,MelihatIndo ganjarpranowo mohmahfudmd Yakin bahwa Ganjar Mahfud adalah pemimpin yang sempurna dan akan terus membawa kemajuan besar dalam Indonesia VisiMisiGanjarMahfud,0,0,0,0,in,1594476469618900993,1715293032529203504,ebewwi,https://twitter.com/ebewwi/status/1715321259222073647,MelihatIndo ganjarpranowo mohmahfudmd Yakin Ganjar Mahfud membawa VisiMisiGanjarMahfud,"['[', ""'MelihatIndo"", ""'"", ',', ""'ganjarpranowo"", ""'"", ',', ""'mohmahfudmd"", ""'"", ',', ""'Yakin"", ""'"", ',', ""'Ganjar"", ""'"", ',', ""'Mahfud"", ""'"", ',', ""'membawa"", ""'"", ',', ""'VisiMisiGanjarMahfud"", ""'"", ']']"
Fri Oct 20 10:57:07 +0000 2023,1715321238829379714,ganjarpranowo filvanusjabiyGAMA mengandung makna yang mendalam dan penuh doa harapan baik Cahaya Bintang ,0,0,0,0,in,255054929,1715311487160553495,filvanusjabiy,https://twitter.com/filvanusjabiy/status/1715321238829379714,ganjarpranowo filvanusjabiyGAMA Cahaya Bintang,"['[', ""'ganjarpranowo"", ""'"", ',', ""'filvanusjabiyGAMA"", ""'"", ',', ""'Cahaya"", ""'"", ',', ""'Bintang"", ""'"", ']']"
Fri Oct 20 10:57:02 +0000 2023,1715321220001149341,ArsjadRasjid ganjarpranowo mohmahfudmd PASTI,0,0,0,0,lt,1299176531256721408,1715313421842059516,Oleng_YNWA,https://twitter.com/Oleng_YNWA/status/1715321220001149341,ArsjadRasjid ganjarpranowo mohmahfudmd PASTI,"['[', ""'ArsjadRasjid"", ""'"", ',', ""'ganjarpranowo"", ""'"", ',', ""'mohmahfudmd"", ""'"", ',', ""'PASTI"", ""'"", ']']"
Fri Oct 20 10:56:58 +0000 2023,1715321204381483210,priatamvan Bangtrave AnakKolong peterhari ganjarpranowo jokowi krn lu singging batutulispendukung hanya mengingatkan jgn smp pak jokowi masuk manuver spt yg dilakukan relawan tegak lurus amp  ketua mk yg ikut memutuskan putusan JR padahal ada konflik kepentingan cawe politik sdh dilakukan relawan tegak lurus manuver ketua mk,0,1,0,0,in,1587265721146707968,1715019286484500913,SotoAyam1970,https://twitter.com/SotoAyam1970/status/1715321204381483210,priatamvan Bangtrave AnakKolong peterhari ganjarpranowo jokowi krn singging batutulispendukung jgn smp jokowi spt yg dilakukan amp mk yg JR cawe sdh dilakukan mk,"['[', ""'priatamvan"", ""'"", ',', ""'Bangtrave"", ""'"", ',', ""'AnakKolong"", ""'"", ',', ""'peterhari"", ""'"", ',', ""'ganjarpranowo"", ""'"", ',', ""'jokowi"", ""'"", ',', ""'krn"", ""'"", ',', ""'singging"", ""'"", ',', ""'batutulispendukung"", ""'"", ',', ""'jgn"", ""'"", ',', ""'smp"", ""'"", ',', ""'jokowi"", ""'"", ',', ""'spt"", ""'"", ',', ""'yg"", ""'"", ',', ""'dilakukan"", ""'"", ',', ""'amp"", ""'"", ',', ""'mk"", ""'"", ',', ""'yg"", ""'"", ',', ""'JR"", ""'"", ',', ""'cawe"", ""'"", ',', ""'sdh"", ""'"", ',', ""'dilakukan"", ""'"", ',', ""'mk"", ""'"", ']']"
Fri Oct 20 10:56:57 +0000 2023,1715321199260275000,MelihatIndo ganjarpranowo mohmahfudmd Dengan adanya VisiMisiGanjarMahfud Indonesia akan menjadi lebih baik lgi,0,0,0,0,in,1594484755768045568,1715293032529203504,gummysmilee11,https://twitter.com/gummysmilee11/status/1715321199260275000,MelihatIndo ganjarpranowo mohmahfudmd Dengan VisiMisiGanjarMahfud lgi,"['[', ""'MelihatIndo"", ""'"", ',', ""'ganjarpranowo"", ""'"", ',', ""'mohmahfudmd"", ""'"", ',', ""'Dengan"", ""'"", ',', ""'VisiMisiGanjarMahfud"", ""'"", ',', ""'lgi"", ""'"", ']']"
Fri Oct 20 10:56:52 +0000 2023,1715321177424732489,ALWiran chchotimah siregarferro ganjarpranowo mohmahfudmd Pasti den ganjar punya koleksinya  ,0,0,0,0,in,1029401048186728448,1714854648782442793,ZPolitcon,https://twitter.com/ZPolitcon/status/1715321177424732489,ALWiran chchotimah siregarferro ganjarpranowo mohmahfudmd Pasti koleksinya,"['[', ""'ALWiran"", ""'"", ',', ""'chchotimah"", ""'"", ',', ""'siregarferro"", ""'"", ',', ""'ganjarpranowo"", ""'"", ',', ""'mohmahfudmd"", ""'"", ',', ""'Pasti"", ""'"", ',', ""'koleksinya"", ""'"", ']']"
Fri Oct 20 10:56:50 +0000 2023,1715321170822590586,ganjarpranowo Asik nih ndoro  httpstconVzXDRlTB,0,0,0,0,in,1368200408166854661,1714954565181931657,pacekriboow,https://twitter.com/pacekriboow/status/1715321170822590586,ganjarpranowo Asik httpstconVzXDRlTB,"['[', ""'ganjarpranowo"", ""'"", ',', ""'Asik"", ""'"", ',', ""'httpstconVzXDRlTB"", ""'"", ']']"
Fri Oct 20 10:56:47 +0000 2023,1715321157627621585,NikmatulSg ganjarpranowo mohmahfudmd kinerja yang nyata paling satset soal rakyat sipaling merakyat kenapa harus pilih yang lain VisiMisiGanjarMahfud,0,0,0,0,in,1706712891196686340,1715286319017103792,NancyNancy66322,https://twitter.com/NancyNancy66322/status/1715321157627621585,NikmatulSg ganjarpranowo mohmahfudmd satset sipaling VisiMisiGanjarMahfud,"['[', ""'NikmatulSg"", ""'"", ',', ""'ganjarpranowo"", ""'"", ',', ""'mohmahfudmd"", ""'"", ',', ""'satset"", ""'"", ',', ""'sipaling"", ""'"", ',', ""'VisiMisiGanjarMahfud"", ""'"", ']']"
Fri Oct 20 10:56:44 +0000 2023,1715321142456864859,NikmatulSg ganjarpranowo mohmahfudmd semoga dengan adanya VisiMisiGanjarMahfud bisa membawa perubahan untuk masyarakat Indonesia kearah yang lebih baik lagi,0,0,0,0,in,1633654064486711297,1715286319017103792,fitrok6,https://twitter.com/fitrok6/status/1715321142456864859,NikmatulSg ganjarpranowo mohmahfudmd VisiMisiGanjarMahfud membawa kearah,"['[', ""'NikmatulSg"", ""'"", ',', ""'ganjarpranowo"", ""'"", ',', ""'mohmahfudmd"", ""'"", ',', ""'VisiMisiGanjarMahfud"", ""'"", ',', ""'membawa"", ""'"", ',', ""'kearah"", ""'"", ']']"
Fri Oct 20 10:56:40 +0000 2023,1715321128833655283,MelihatIndo ganjarpranowo mohmahfudmd Mari terus memberikan kebahagiaan dan kebaikan untuk kemajuan Indonesia VisiMisiGanjarMahfud,0,0,0,0,in,1384377832122421256,1715293032529203504,sawturnheree,https://twitter.com/sawturnheree/status/1715321128833655283,MelihatIndo ganjarpranowo mohmahfudmd Mari VisiMisiGanjarMahfud,"['[', ""'MelihatIndo"", ""'"", ',', ""'ganjarpranowo"", ""'"", ',', ""'mohmahfudmd"", ""'"", ',', ""'Mari"", ""'"", ',', ""'VisiMisiGanjarMahfud"", ""'"", ']']"
Fri Oct 20 10:56:37 +0000 2023,1715321116489855247,lahedom ganjarpranowo Tdk perlu menunggu sikap Jokowikita semua punya kebebasan memilih sesuai logika dan akal sehat berdasarkan rekam jejak dan karakter pribadi masing capres,0,0,0,0,in,74680620,1715311487160553495,f3rryf3rdian,https://twitter.com/f3rryf3rdian/status/1715321116489855247,lahedom ganjarpranowo Tdk Jokowikita karakter masing capres,"['[', ""'lahedom"", ""'"", ',', ""'ganjarpranowo"", ""'"", ',', ""'Tdk"", ""'"", ',', ""'Jokowikita"", ""'"", ',', ""'karakter"", ""'"", ',', ""'masing"", ""'"", ',', ""'capres"", ""'"", ']']"
Fri Oct 20 10:56:36 +0000 2023,1715321110164852922,NikmatulSg ganjarpranowo mohmahfudmd Dengan adanya VisiMisiGanjarMahfud kami yakin Indonesia akan lebih baik,0,0,0,0,in,1594484755768045568,1715286319017103792,gummysmilee11,https://twitter.com/gummysmilee11/status/1715321110164852922,NikmatulSg ganjarpranowo mohmahfudmd Dengan VisiMisiGanjarMahfud,"['[', ""'NikmatulSg"", ""'"", ',', ""'ganjarpranowo"", ""'"", ',', ""'mohmahfudmd"", ""'"", ',', ""'Dengan"", ""'"", ',', ""'VisiMisiGanjarMahfud"", ""'"", ']']"
Fri Oct 20 10:56:36 +0000 2023,1715321109506339006,MelihatIndo ganjarpranowo mohmahfudmd Kawal terus agar VisiMisiGanjarMahfud dapat kita rasakan nantinya,0,0,0,0,in,1652250387238510592,1715293032529203504,b4y4n9_,https://twitter.com/b4y4n9_/status/1715321109506339006,MelihatIndo ganjarpranowo mohmahfudmd Kawal VisiMisiGanjarMahfud rasakan,"['[', ""'MelihatIndo"", ""'"", ',', ""'ganjarpranowo"", ""'"", ',', ""'mohmahfudmd"", ""'"", ',', ""'Kawal"", ""'"", ',', ""'VisiMisiGanjarMahfud"", ""'"", ',', ""'rasakan"", ""'"", ']']"
