created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Oct 05 04:39:40 +0000 2023;1709790435332542740;"@annelizinc @achmadfahrul26 @Heraloebss Iya, sampai ga tau ternyata mirna ga di otopsi sama mereka dan jesica di jadiin tersangka tanpa bukti akurat, mereka hanya menjadikan bukti rekaman CCTV sama asumsi kosong gegara jess buang celana nya";0;1;0;1;in;1452517844902547459;1709540592148262915;Ciu_ciudit;https://twitter.com/Ciu_ciudit/status/1709790435332542740
Thu Oct 05 04:37:38 +0000 2023;1709789924126523887;"@gierinakoo_ Iya gie, mirna jesica";0;0;0;0;in;1452517844902547459;1709733224639832279;Ciu_ciudit;https://twitter.com/Ciu_ciudit/status/1709789924126523887
Thu Oct 05 04:24:32 +0000 2023;1709786627567227014;"@WildFlow__ @kegblgnunfaedh Semua ahli yg dihadirkan seingat sya membenarkan mirna tewas krn sianida. Kesimpulan pn kl g salah krn reaksi sianida itu sesuai dgn kebersamaan Jesisca dn Mirna. Dlm arti reaksi Sianida g mungkn sesuai dgn wktu tewasnya apabila sianida masuk ke tubuh mirna sebelm bertemu Jesica";0;0;0;0;in;1538415270;1709485631616016426;andik_kelana;https://twitter.com/andik_kelana/status/1709786627567227014
Thu Oct 05 03:23:50 +0000 2023;1709771350477545578;"@Ciu_ciudit aku blm lihat dokumenter nya kasus mirna.cuma aku lihat cerita dari youtube bang hirotada.bener2 janggal sih.kasihan ujung2 nya jesica😭";0;1;0;0;in;1659544427633987586;1709733224639832279;KimTaeTaekoovk;https://twitter.com/KimTaeTaekoovk/status/1709771350477545578
Thu Oct 05 03:16:02 +0000 2023;1709769388231193011;"pengen ngobrol sama anak hukum deh soal kasus jesica mirna ini kek gimana pandangan anak hukum yang masih muda muda gitu loh yang belum terkontaminasi pemerintahan u,u";0;1;0;1;in;1541078349480505344;1709769388231193011;deiyael;https://twitter.com/deiyael/status/1709769388231193011
Thu Oct 05 02:38:28 +0000 2023;1709759932470542714;"@syeviera @helloxsydney05 @Heraloebss Anjir y perkara kredibilitas turun jd kyk adu domba gt ga cuma 1 pihak yg di rugikan sih jatuhnya tp jelas jesica paling di rugikan kalo emg ga bersalah anjr udh nyita waktunya jesica buat stay di penjara bbrp kurun waktu. Dan bisa jd kalo ayah mirna "bayar" nominalnya jg gedhe";0;1;0;0;in;1191296237976186880;1709540592148262915;orangkayabaik14;https://twitter.com/orangkayabaik14/status/1709759932470542714
Thu Oct 05 01:07:28 +0000 2023;1709737031314862087;"@Heraloebss Jesicca sus bgt, mana dia yg dtg duluan dan pesanin semua kopi. Makanya bs jd mereka menciptakan skenario tsb. Kalau dari awal lngsung simpulin kalau mirna meninggal krn bawaan penyakit pasti tdk panjang. Semua ini murni pendapat aku aja yah :)";0;1;0;5;in;1082696472452227072;1709540592148262915;helloxsydney05;https://twitter.com/helloxsydney05/status/1709737031314862087
Thu Oct 05 00:18:27 +0000 2023;1709724698286710854;"dari banyaknya teori mirna jesica kek nya gue lebih percaya yg menurut indigo deh, yg paling make sense keknya.  makesense paoknya";0;0;0;0;in;1432236200450932737;1709724698286710854;Cccinderelleee;https://twitter.com/Cccinderelleee/status/1709724698286710854
Thu Oct 05 00:09:02 +0000 2023;1709722327947034863;"Mbak Jesica kesian cokkk 7 tahun penjara padahal ga salah, bokap nya Mirna nih klo beneran yg bunuh anj- kau pak 😭";0;0;0;0;in;1349543453152038913;1709722327947034863;Beomi_GyuCat;https://twitter.com/Beomi_GyuCat/status/1709722327947034863
Wed Oct 04 23:43:54 +0000 2023;1709716002492072378;"@tvOneNews persekongkolan yg sangat jahat pak polisi tlg tangkap bpk nya mirna sholihin suaminya dn termasuk perikasa reza indra giri yg  ahli forensik itu,dn bebeskan jesica saat ini jg";0;0;0;0;in;1691650957984301056;1709705801982722190;opisaopi46050;https://twitter.com/opisaopi46050/status/1709716002492072378
